ROP (ft/hr),WOB (lbm),RPM,Flowrate (gpm),Impact Force (lbf),Mud Weight (ppg),Pore Pressure (PSI),Fracture Pressure (PSI)
131.40,6327.26,254.00,753.90,994.37,12.94,4420.30,7110.92
151.67,16446.47,285.00,697.80,851.89,12.94,4505.54,7162.65
87.50,31459.93,210.00,691.50,836.57,12.94,3973.77,7021.61
128.67,33818.87,203.00,691.20,835.85,12.94,3981.13,7034.62
142.88,37258.08,203.00,691.20,835.85,12.94,3988.49,7047.62
159.55,39749.30,203.00,691.20,835.85,12.94,3995.85,7060.62
105.87,17703.10,268.00,690.90,835.12,12.94,4430.73,7190.22
143.34,12434.06,286.00,690.30,833.67,12.94,4711.44,7281.32
133.96,32694.51,202.00,690.30,833.67,12.94,4056.93,7138.64
116.24,32782.70,202.00,690.30,833.67,12.94,4025.28,7112.64
109.97,34127.52,202.00,690.30,833.67,12.94,4071.79,7125.64
144.65,32297.68,220.00,690.00,832.95,12.94,4196.89,7177.86
161.02,15983.50,287.00,687.00,825.72,12.94,4833.25,7387.41
131.82,20591.15,252.00,686.10,823.56,12.94,4566.48,7322.11
119.19,34877.09,201.00,685.80,822.84,12.94,4101.51,7217.09
175.46,40388.64,201.00,686.40,824.28,12.94,4148.45,7230.16
162.11,40278.41,201.00,686.40,824.28,12.94,4195.54,7243.24
146.92,30886.73,234.00,687.00,825.72,12.94,4401.37,7335.62
159.55,14065.48,286.00,684.60,819.96,12.94,4607.92,7388.56
41.57,25727.92,252.00,681.90,813.51,12.94,4178.46,7282.46
35.66,42615.30,200.00,681.00,811.36,12.94,4106.23,7295.53
41.60,48413.46,200.00,680.70,810.65,12.94,4113.59,7308.61
46.56,51698.34,200.00,680.70,810.65,12.94,4120.95,7321.68
19.23,34083.43,267.00,680.10,809.22,12.94,4128.31,7334.76
23.16,41733.46,236.00,690.00,832.95,12.94,4135.67,7347.83
96.03,20502.97,251.00,640.50,717.72,12.94,4143.02,7360.91
15.94,9700.33,182.00,619.20,670.78,12.94,4150.38,7373.98
28.08,8774.39,182.00,618.90,670.13,12.94,4157.74,7387.06
16.50,8972.80,187.00,620.70,674.04,12.94,4165.10,7400.13
125.00,5533.60,284.00,621.30,675.34,12.94,4375.01,7494.22
55.84,8201.19,208.00,620.10,672.73,12.94,4220.40,7466.86
69.26,10449.90,182.00,619.50,671.43,12.94,4187.18,7480.01
102.49,11265.61,182.00,619.50,671.43,12.94,4357.43,7493.15
71.69,14131.61,183.00,624.00,681.22,12.94,4201.89,7506.30
105.84,11552.21,217.00,626.10,685.82,12.94,4250.12,7519.44
205.51,10053.07,294.00,655.20,751.05,12.94,4462.24,7573.53
99.54,9127.13,261.00,687.30,826.44,12.94,4388.01,7586.74
104.79,11177.42,202.00,687.00,825.72,12.94,4395.65,7599.96
150.33,13404.09,201.00,686.70,825.00,12.94,4526.76,7654.33
61.19,10582.18,201.00,686.70,825.00,12.94,4246.05,7667.62
134.35,12456.10,218.00,0.00,0.00,12.94,4583.77,7680.91
143.93,5247.00,304.00,0.00,0.00,12.94,4591.70,7694.20
166.63,6305.21,304.00,0.00,0.00,12.94,4516.75,7707.49
166.83,5202.90,304.00,687.60,827.16,12.94,4524.54,7720.78
139.30,4982.44,305.00,687.00,825.72,12.94,4524.54,7734.06
88.06,4960.40,305.00,686.70,825.00,12.94,4623.42,7747.35
69.69,4784.03,305.00,686.40,824.28,12.94,4547.90,7760.64
178.02,6084.75,320.00,686.70,825.00,12.94,4304.92,7732.14
155.38,7054.78,333.00,690.90,835.12,12.94,4312.28,7745.35
198.03,7936.63,341.00,691.80,837.30,12.94,4445.45,7800.51
189.93,8774.39,351.00,692.40,838.75,12.94,4873.12,7897.82
158.56,8487.79,351.00,692.40,838.75,12.94,4755.16,7911.25
148.26,8575.97,350.00,691.80,837.30,12.94,4721.09,7882.53
144.55,6283.17,350.00,690.30,833.67,12.94,4560.19,7853.66
112.70,6856.37,350.00,690.00,832.95,12.94,4610.20,7909.25
119.72,6349.31,350.00,689.40,831.50,12.94,4829.82,7964.97
100.16,7231.15,350.00,689.40,831.50,12.94,4540.90,7893.53
86.55,7209.11,350.00,689.40,831.50,12.94,4718.59,7949.33
125.95,6988.65,349.00,686.70,825.00,12.94,4556.19,7920.11
113.45,6481.58,348.00,682.50,814.94,12.94,4947.71,8061.35
108.40,6525.68,348.00,682.80,815.66,12.94,4913.27,8032.13
114.44,7451.62,348.00,682.80,815.66,12.94,4835.90,8045.56
98.72,8333.46,348.00,682.80,815.66,12.94,4586.77,7973.26
77.26,8708.25,348.00,682.50,814.94,12.94,4551.48,7986.55
94.36,8157.09,350.00,688.50,829.33,12.94,4731.09,8042.85
123.06,7650.03,352.00,754.80,996.74,12.94,4997.43,8142.37
106.00,7627.99,352.00,695.70,846.77,12.94,4919.42,8155.88
95.11,7870.49,352.00,695.70,846.77,12.94,4841.11,8126.15
82.48,8509.83,352.00,695.70,846.77,12.94,4632.64,8096.29
71.88,8443.69,348.00,683.10,816.37,12.94,4553.55,8066.28
164.57,6084.75,261.00,567.00,562.45,12.94,4561.05,8123.01
90.85,13448.18,252.00,575.10,571.17,12.78,4525.04,8092.86
72.77,11309.70,273.00,646.80,722.47,12.78,4488.89,8106.15
88.45,13227.72,262.00,567.90,556.96,12.78,4627.21,8163.09
79.00,1763.70,258.00,426.00,307.25,12.53,4591.06,8176.45
71.62,2182.57,264.00,443.70,333.32,12.53,4729.94,8233.61
68.47,3505.35,267.00,444.60,334.67,12.53,4562.19,8203.17
95.57,5643.83,271.00,446.40,337.39,12.53,4525.68,8172.59
89.37,3924.22,279.00,473.10,378.95,12.53,4577.05,8229.89
66.50,2403.04,278.00,477.00,385.23,12.53,4672.65,8243.25
